barcode_number,reporter_id
4,GATA4_10bp_10bp_mCMV_3
5,RANDOM1_10bp_21bp_hBGm_1
4,PAX6_5bp_21bp_hBGm_3
3,CEBPA_TF-seq_NA_21bp_minP_NA
2,NR1D1_5bp_21bp_mCMV_3
2,ELK1_10bp_10bp_hBGm_1
1,FOSL1_5bp_21bp_mCMV_1
5,RANDOM3_10bp_21bp_hBGm_2
5,HSF1_promega_NA_10bp_mCMV_NA
2,NEUROG2_5bp_21bp_hBGm_1
5,VDR::RXRA_10bp_21bp_mCMV_2
3,E2F1_5bp_10bp_mCMV_3
3,RANDOM3_10bp_21bp_mCMV_1
1,RANDOM3_10bp_21bp_hBGm_3
1,THRB_5bp_10bp_minP_1
2,ATF6_TF-seq_NA_10bp_minP_NA
4,ONECUT1_romanov_NA_10bp_minP_NA
5,HOMEZ_10bp_10bp_hBGm_2
5,RANDOM3_10bp_21bp_minP_2
3,RANDOM2_10bp_21bp_hBGm_1
1,TFAP2A_romanov_NA_10bp_mCMV_NA
3,RORA_5bp_10bp_mCMV_1
3,NFE2L2_5bp_10bp_hBGm_3
2,RANDOM1_10bp_21bp_minP_2
5,NR1H4::RXRA_10bp_10bp_mCMV_1
2,GATA1_5bp_10bp_mCMV_2
2,TCF7_10bp_21bp_mCMV_1
4,NFYA_5bp_21bp_mCMV_2
3,CLOCK_TF-seq_NA_10bp_mCMV_NA
1,SRF_10bp_10bp_mCMV_3
1,PPARG::RXRA_5bp_21bp_mCMV_2
3,FOXO1_10bp_10bp_minP_3
1,MAF::NFE2_10bp_10bp_mCMV_3
3,RBPJ_TF-seq_NA_10bp_mCMV_NA
2,STAT4_TF-seq_NA_10bp_mCMV_NA
5,RANDOM1_10bp_21bp_hBGm_3
2,SMAD2::SMAD3::SMAD4_5bp_21bp_mCMV_1
4,STAT3_10bp_10bp_hBGm_3
5,SMAD4_5bp_21bp_hBGm_3
1,MTF1_promega_NA_10bp_mCMV_NA
5,STAT6_TF-seq_NA_10bp_mCMV_NA
3,ATF2_TF-seq_NA_21bp_minP_NA
1,NFKB1_5bp_10bp_hBGm_1
5,MEF2A_5bp_10bp_mCMV_1
5,IRF1_TF-seq_NA_10bp_mCMV_NA
3,RXRA_5bp_10bp_minP_2
3,TFCP2L1_10bp_21bp_mCMV_2
3,HNF1A_10bp_10bp_mCMV_1
3,GBX2_5bp_21bp_hBGm_3
5,EGR1_10bp_21bp_mCMV_3
4,RANDOM3_10bp_21bp_mCMV_3
5,RANDOM1_10bp_21bp_mCMV_1
2,RANDOM3_10bp_21bp_minP_3
2,NR4A2::RXRA_10bp_21bp_mCMV_1
5,ZFP42_10bp_10bp_minP_1
2,WT1_10bp_21bp_mCMV_1
2,RANDOM1_10bp_21bp_mCMV_2
2,PPARA::RXRA_10bp_21bp_minP_2
1,RANDOM3_10bp_21bp_minP_1
2,POU5F1_5bp_21bp_mCMV_1
5,AHR::ARNT_TF-seq_NA_10bp_mCMV_NA
1,RANDOM2_10bp_21bp_minP_3
2,REL_5bp_21bp_mCMV_1
5,SP1_10bp_21bp_Random_1
5,NR3C1_5bp_21bp_mCMV_3
1,RANDOM2_10bp_21bp_mCMV_3
5,CEBPB_5bp_21bp_mCMV_1
1,ZFX_5bp_10bp_minP_1
4,SOX2_5bp_21bp_mCMV_1
5,MYBL2_10bp_10bp_minP_2
3,XBP1_10bp_21bp_mCMV_3
2,NR1H2_10bp_21bp_mCMV_1
4,RUNX2_TF-seq_NA_10bp_minP_NA
5,RANDOM3_10bp_21bp_Random_1
3,MYC_romanov_NA_21bp_mCMV_NA
5,RANDOM3_10bp_21bp_hBGm_1
3,RANDOM1_10bp_21bp_minP_3
4,POU2F1_5bp_10bp_minP_3
1,IRF3_10bp_10bp_hBGm_3
4,POU5F1::SOX2_5bp_21bp_minP_1
4,RANDOM1_10bp_21bp_mCMV_3
3,NFATC1_promega_NA_10bp_mCMV_NA
2,KLF4_5bp_21bp_mCMV_1
2,NFAT5_5bp_10bp_minP_1
3,FOXA1_10bp_21bp_Random_1
4,NR3C2_10bp_21bp_Random_1
3,ESRRB_5bp_10bp_hBGm_3
3,RANDOM2_10bp_21bp_mCMV_2
1,TEAD1_10bp_10bp_mCMV_2
4,RANDOM2_10bp_21bp_hBGm_3
4,TP53_5bp_10bp_mCMV_1
2,RARA_5bp_10bp_minP_3
4,THRA_5bp_10bp_mCMV_1
2,SOX9_10bp_21bp_mCMV_2
1,ATF4_TF-seq_NA_10bp_minP_NA
4,STAT1::STAT2_10bp_10bp_mCMV_1
5,IRX3_5bp_10bp_mCMV_2
2,GRHL1_5bp_21bp_minP_1
1,FOS::JUN_TF-seq_NA_21bp_mCMV_NA
1,SREBF1_TF-seq_NA_21bp_mCMV_NA
1,RARA:RXRA_10bp_21bp_mCMV_2
4,NR1I3_10bp_21bp_mCMV_2
4,RANDOM1_10bp_21bp_hBGm_2
5,PGR_10bp_21bp_minP_1
2,NR1I2_10bp_10bp_mCMV_1
3,NR5A2_5bp_21bp_mCMV_1
3,NRF1_5bp_10bp_mCMV_2
2,NR4A1_10bp_10bp_mCMV_1
1,HIF1A_promega_NA_10bp_mCMV_NA
5,CREB1_5bp_10bp_hBGm_1
3,HNF4A_10bp_10bp_mCMV_3
1,GLI1_5bp_10bp_mCMV_3
2,TFEB_TF-seq_NA_21bp_mCMV_NA
4,NFIA_10bp_10bp_minP_2
5,AR_5bp_21bp_minP_2
2,RANDOM3_10bp_21bp_mCMV_2
4,RANDOM2_10bp_21bp_hBGm_2
3,RANDOM1_10bp_21bp_Random_1
2,RANDOM2_10bp_21bp_minP_1
3,STAT1_TF-seq_NA_10bp_minP_NA
2,ESR1_10bp_10bp_mCMV_2
4,RANDOM2_10bp_21bp_minP_2
1,ETS2_5bp_10bp_minP_3
2,GATA3_TF-seq_NA_21bp_minP_NA
5,RANDOM2_10bp_21bp_mCMV_1
3,RANDOM1_10bp_21bp_minP_1
5,TCF7L2_5bp_21bp_hBGm_2
4,RANDOM2_10bp_21bp_Random_1
3,OTX1_5bp_10bp_minP_1
5,RFX1_10bp_21bp_Random_1
